Movie Title,Num of Rating,Avg Rating
Bed of Roses (1996),60,3.2333333333333334
Bedknobs and Broomsticks (1971),57,3.0701754385964914
Before Sunrise (1995),49,3.4081632653061225
Before and After (1996),26,2.8461538461538463
Before the Rain (Pred dozhdot) (1994),10,3.8
Being Human (1993),4,1.75
Being There (1979),116,3.905172413793104
"Believers, The (1987)",16,2.25
Belle de jour (1967),37,3.9459459459459465
Ben-Hur (1959),124,3.8306451612903225
Benny & Joon (1993),102,3.4607843137254903
Bent (1997),6,2.6666666666666665
Best Men (1997),5,3.4
Best of the Best 3: No Turning Back (1995),6,1.5
Better Off Dead... (1985),79,3.5696202531645564
"Beverly Hillbillies, The (1993)",20,2.25
Beverly Hills Cop III (1994),28,2.392857142857143
Beverly Hills Ninja (1997),48,2.3125
"Bewegte Mann, Der (1994)",3,3.6666666666666665
Beyond Bedlam (1993),2,1.0
Beyond Rangoon (1995),18,3.055555555555556
Bhaji on the Beach (1993),8,2.875
"Big Bang Theory, The (1994)",1,4.0
"Big Blue, The (Grand bleu, Le) (1988)",17,3.2352941176470584
Big Bully (1996),14,1.8571428571428568
"Big Green, The (1995)",14,2.5
"Big Lebowski, The (1998)",42,3.8333333333333335
Big Night (1996),171,3.900584795321637
"Big One, The (1997)",1,3.0
"Big Sleep, The (1946)",73,4.027397260273974
"Big Squeeze, The (1996)",4,2.25
Billy Madison (1995),37,3.081081081081081
Bio-Dome (1996),31,1.903225806451613
Bird of Prey (1996),1,1.0
"Birdcage, The (1996)",293,3.4436860068259385
"Birds, The (1963)",162,3.8086419753086425
Bitter Moon (1992),10,3.3
Bitter Sugar (Azucar Amargo) (1996),3,4.333333333333333
Black Beauty (1994),27,3.4444444444444446
Black Sheep (1996),55,2.636363636363636
Blade Runner (1982),275,4.138181818181818
Blink (1994),19,3.0
Bliss (1997),7,2.571428571428572
"Blob, The (1958)",46,2.717391304347826
Blood & Wine (1997),22,2.863636363636364
Blood Beach (1981),6,2.1666666666666665
Blood For Dracula (Andy Warhol's Dracula) (1974),5,2.4
Bloodsport 2 (1995),10,1.7
"Bloody Child, The (1996)",1,1.0
Blown Away (1994),29,2.7586206896551726
"Blue Angel, The (Blaue Engel, Der) (1930)",18,3.7777777777777777
Blue Chips (1994),9,2.6666666666666665
Blue Sky (1994),12,3.4166666666666665
Blue in the Face (1995),45,3.1777777777777776
Blues Brothers 2000 (1998),28,2.821428571428572
"Blues Brothers, The (1980)",251,3.836653386454184
Bob Roberts (1992),85,3.7411764705882353
Body Parts (1991),13,1.6153846153846154
"Body Snatcher, The (1945)",22,3.5
Body Snatchers (1993),69,2.971014492753623
Bogus (1996),22,2.5454545454545454
"Bonheur, Le (1965)",4,2.0
Bonnie and Clyde (1967),122,3.819672131147541
Boogie Nights (1997),189,3.5873015873015874
Boomerang (1992),32,2.8125
"Boot, Das (1981)",201,4.2039800995024885
Booty Call (1997),48,2.1666666666666665
Bottle Rocket (1996),44,3.4545454545454546
Bound (1996),129,3.821705426356589
Boxing Helena (1993),15,2.2
Boy's Life 2 (1997),6,3.333333333333333
Boys (1996),6,3.333333333333333
Boys Life (1995),5,3.2
Boys in Venice (1996),2,1.0
"Boys of St. Vincent, The (1993)",13,3.3846153846153846
Boys on the Side (1995),34,3.147058823529412
"Boys, Les (1997)",3,3.333333333333333
"Brady Bunch Movie, The (1995)",76,2.8026315789473686
Braindead (1992),14,3.8571428571428568
Bram Stoker's Dracula (1992),120,3.158333333333333
Brassed Off (1996),32,3.9375
Braveheart (1995),297,4.151515151515151
Brazil (1985),208,3.817307692307693
Bread and Chocolate (Pane e cioccolata) (1973),12,3.1666666666666665
Breakdown (1997),77,3.4025974025974026
Breakfast at Tiffany's (1961),95,3.726315789473684
Breaking the Waves (1996),74,3.72972972972973
Bride of Frankenstein (1935),46,3.608695652173913
"Bridge on the River Kwai, The (1957)",165,4.175757575757577
"Bridges of Madison County, The (1995)",67,3.164179104477612
Bringing Up Baby (1938),68,3.8382352941176467
Broken Arrow (1996),254,3.0314960629921264
Broken English (1996),8,2.25
"Bronx Tale, A (1993)",48,3.7916666666666665
Brother Minister: The Assassination of Malcolm X (1994),5,3.0
"Brother's Kiss, A (1997)",1,2.0
"Brothers McMullen, The (1995)",73,3.4520547945205484
Brothers in Trouble (1995),1,4.0
"Browning Version, The (1994)",10,3.0
Buddy (1997),4,2.25
Bulletproof (1996),49,3.204081632653061
Bullets Over Broadway (1994),86,3.72093023255814
Burnt By the Sun (1994),24,3.7083333333333335
Burnt Offerings (1976),9,2.4444444444444446
Bushwhacked (1995),7,1.5714285714285714
Butch Cassidy and the Sundance Kid (1969),216,3.9490740740740735
"Butcher Boy, The (1998)",2,4.0
Butterfly Kiss (1995),1,1.0
"Bye Bye, Love (1995)",15,3.1333333333333333
C'est arrivé près de chez vous (1992),4,3.0
Cabin Boy (1994),16,2.5625
"Cable Guy, The (1996)",106,2.339622641509434
Calendar Girl (1993),3,2.0
Canadian Bacon (1994),29,2.413793103448276
"Candidate, The (1972)",39,3.641025641025641
Candyman (1992),65,2.7230769230769236
Candyman: Farewell to the Flesh (1995),21,2.4285714285714284
Cape Fear (1962),86,3.5232558139534884
Cape Fear (1991),171,3.456140350877193
Captives (1994),3,2.333333333333333
Career Girls (1997),39,3.2564102564102564
Careful (1992),1,1.0
Carlito's Way (1993),54,3.4074074074074074
Carmen Miranda: Bananas Is My Business (1994),2,1.5
Caro Diario (Dear Diary) (1994),4,2.75
Carpool (1996),5,2.8
Carrie (1976),121,3.5041322314049586
Carried Away (1996),11,3.0
Carrington (1995),13,3.2307692307692313
Casablanca (1942),243,4.4567901234567895
Casino (1995),91,3.648351648351648
Casper (1995),52,3.0769230769230766
Castle Freak (1995),4,1.25
Cat People (1982),48,2.895833333333333
Cat on a Hot Tin Roof (1958),62,3.9516129032258074
Cats Don't Dance (1997),32,2.84375
Catwalk (1995),3,1.3333333333333333
Caught (1996),8,3.25
Celestial Clockwork (1994),2,4.0
"Celluloid Closet, The (1995)",56,3.8928571428571432
Celtic Pride (1996),15,2.2
"Cement Garden, The (1993)",10,3.6
Cemetery Man (Dellamorte Dellamore) (1994),23,2.8695652173913038
Century (1993),1,3.0
Chain Reaction (1996),80,2.7
Chairman of the Board (1998),9,2.2222222222222223
"Chamber, The (1996)",43,3.0930232558139537
Charade (1963),40,3.925
Chasers (1994),5,2.2
Chasing Amy (1997),379,3.8390501319261214
Children of the Corn: The Gathering (1996),19,1.3157894736842106
Children of the Revolution (1996),5,3.2
Chinatown (1974),147,4.1360544217687085
"Christmas Carol, A (1938)",69,4.057971014492754
Chungking Express (1994),28,3.571428571428572
"Ciao, Professore! (1993)",4,2.75
Cinderella (1950),129,3.581395348837209
Cinema Paradiso (1988),121,4.1735537190082646
Circle of Friends (1995),76,3.486842105263158
Citizen Kane (1941),198,4.292929292929293
Citizen Ruth (1996),45,3.6222222222222222
City Hall (1996),79,3.1392405063291138
City Slickers II: The Legend of Curly's Gold (1994),44,2.5454545454545454
City of Angels (1998),8,3.0
City of Industry (1997),6,2.5
"City of Lost Children, The (1995)",96,3.7916666666666665
Clean Slate (1994),10,2.8
Clean Slate (Coup de Torchon) (1981),4,2.75
Clear and Present Danger (1994),179,3.5698324022346366
Clerks (1994),148,3.8040540540540535
"Client, The (1994)",97,3.3814432989690717
Cliffhanger (1993),93,3.0215053763440864
Clockers (1995),33,3.0
"Clockwork Orange, A (1971)",221,3.909502262443439
"Close Shave, A (1995)",112,4.491071428571429
Clueless (1995),170,3.4588235294117653
Cobb (1994),15,2.8
Cold Comfort Farm (1995),125,3.824
Coldblooded (1995),1,2.0
"Collectionneuse, La (1967)",2,2.0
"Colonel Chabert, Le (1994)",4,3.5
Color of Night (1994),15,2.7333333333333334
Commandments (1997),3,2.6666666666666665
Con Air (1997),137,3.45985401459854
Conan the Barbarian (1981),107,3.0467289719626165
Condition Red (1995),2,2.0
Coneheads (1993),41,2.2195121951219514
Congo (1995),42,2.452380952380953
Conspiracy Theory (1997),295,3.4237288135593222
Contact (1997),509,3.803536345776032
"Contempt (Mépris, Le) (1963)",9,3.0
"Convent, The (Convento, O) (1995)",2,2.5
"Cook the Thief His Wife & Her Lover, The (1989)",82,3.024390243902439
Cool Hand Luke (1967),164,3.9939024390243913
Cool Runnings (1993),68,3.1617647058823533
Cop Land (1997),175,3.377142857142857
Cops and Robbersons (1994),13,2.3076923076923075
Copycat (1995),86,3.302325581395349
"Corrina, Corrina (1994)",39,3.1538461538461537
Cosi (1996),4,4.0
Country Life (1994),2,1.5
Courage Under Fire (1996),221,3.6108597285067874
"Cowboy Way, The (1994)",19,2.2105263157894743
"Craft, The (1996)",104,3.1153846153846154
Crash (1996),128,2.546875
Crimson Tide (1995),154,3.6298701298701297
Critical Care (1997),11,3.0909090909090913
Cronos (1992),10,3.2
Crooklyn (1994),10,3.5
Crossfire (1947),4,4.25
"Crossing Guard, The (1995)",28,3.0
"Crow, The (1994)",134,3.417910447761194
"Crow: City of Angels, The (1996)",39,1.948717948717949
Crows and Sparrows (1949),2,1.5
"Crucible, The (1996)",77,3.3376623376623376
"Crude Oasis, The (1995)",1,1.0
Crumb (1994),81,3.7901234567901234
"Cry, the Beloved Country (1995)",24,3.75
"Crying Game, The (1992)",119,3.6218487394957983
Curdled (1996),8,2.75
"Cure, The (1995)",6,3.333333333333333
Cutthroat Island (1995),18,2.4444444444444446
Cyclo (1995),1,3.0
Cyrano de Bergerac (1990),66,3.8181818181818175
"Cérémonie, La (1995)",3,4.0
D3: The Mighty Ducks (1996),19,2.5789473684210527
Dadetown (1995),1,3.0
Daens (1992),1,1.0
"Damsel in Distress, A (1937)",1,4.0
Dances with Wolves (1990),256,3.79296875
Dangerous Beauty (1998),13,3.7692307692307687
Dangerous Ground (1997),8,1.75
Dangerous Minds (1995),47,3.3404255319148937
Daniel Defoe's Robinson Crusoe (1996),2,3.0
Dante's Peak (1997),240,2.933333333333333
Dark City (1998),16,3.5
Dave (1993),180,3.65
"Davy Crockett, King of the Wild Frontier (1955)",11,2.9090909090909087
"Day the Earth Stood Still, The (1951)",97,3.938144329896907
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",2,2.0
Daylight (1996),57,2.771929824561404
Days of Thunder (1990),53,2.7169811320754715
"Daytrippers, The (1996)",15,3.6666666666666665
Dazed and Confused (1993),64,3.46875
Dead Man (1995),34,3.8235294117647056
Dead Man Walking (1995),299,3.8963210702341136
Dead Poets Society (1989),251,3.9163346613545817
Dead Presidents (1995),18,2.7222222222222223
Dear God (1996),12,2.5
Death and the Maiden (1994),28,3.4285714285714284
Death in Brunswick (1991),1,4.0
"Death in the Garden (Mort en ce jardin, La) (1956)",1,1.0
Deceiver (1997),29,2.827586206896552
Deconstructing Harry (1997),65,3.4
Deep Rising (1998),14,2.4285714285714284
"Deer Hunter, The (1978)",120,3.8333333333333335
Delicatessen (1991),65,3.8769230769230765
Delta of Venus (1994),2,3.0
Demolition Man (1993),92,3.152173913043478
Denise Calls Up (1995),7,3.0
Desert Winds (1995),1,4.0
"Designated Mourner, The (1997)",7,1.8571428571428568
Desperado (1995),97,3.453608247422681
Desperate Measures (1998),72,3.3194444444444446
Destiny Turns on the Radio (1995),2,3.0
Devil in a Blue Dress (1995),57,3.3859649122807016
"Devil's Advocate, The (1997)",188,3.515957446808511
"Devil's Own, The (1997)",240,3.1083333333333334
Diabolique (1996),71,2.8873239436619715
Dial M for Murder (1954),68,4.0
Die Hard (1988),243,3.872427983539095
Die Hard 2 (1990),166,3.3554216867469884
Die Hard: With a Vengeance (1995),151,3.2847682119205297
"Die xue shuang xiong (Killer, The) (1989)",31,3.967741935483871
Dingo (1992),5,2.4
Dirty Dancing (1987),98,3.1020408163265305
Disclosure (1994),40,3.0
Diva (1981),66,3.727272727272727
Dolores Claiborne (1994),79,3.3417721518987342
Don Juan DeMarco (1995),76,3.5526315789473686
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),35,2.771428571428572
Donnie Brasco (1997),147,3.8027210884353733
"Doom Generation, The (1995)",7,2.7142857142857144
"Doors, The (1991)",46,2.9782608695652173
Double Happiness (1994),7,3.4285714285714284
Double Team (1997),13,2.230769230769231
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",22,3.6818181818181817
Down Periscope (1996),101,2.702970297029703
Down by Law (1986),35,3.7714285714285714
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),194,4.252577319587629
Dracula: Dead and Loving It (1995),25,2.28
Dragonheart (1996),158,3.0822784810126582
Dream Man (1995),2,1.5
Dream With the Fishes (1997),7,3.1428571428571432
Drop Dead Fred (1991),24,2.75
Drop Zone (1994),31,2.548387096774193
Drunks (1995),5,2.8
Duck Soup (1933),93,4.0
Dumb & Dumber (1994),69,3.0
Dumbo (1941),123,3.4959349593495936
Dunston Checks In (1996),7,1.8571428571428568
Duoluo tianshi (1995),6,3.1666666666666665
E.T. the Extra-Terrestrial (1982),300,3.8333333333333335
East of Eden (1955),59,3.864406779661017
Eat Drink Man Woman (1994),80,4.05
Ed (1996),6,1.3333333333333333
Ed Wood (1994),133,3.601503759398496
Ed's Next Move (1996),3,2.6666666666666665
Eddie (1996),40,2.7
"Edge, The (1997)",113,3.5398230088495577
"Eighth Day, The (1996)",1,3.0
Emma (1996),177,3.7175141242937855
"Empire Strikes Back, The (1980)",367,4.2043596730245225
Enchanted April (1991),70,3.928571428571429
"Endless Summer 2, The (1994)",10,2.5
"Enfer, L' (1994)",4,3.0
"English Patient, The (1996)",481,3.656964656964657
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",32,3.375
Entertaining Angels: The Dorothy Day Story (1996),1,5.0
Eraser (1996),206,3.150485436893204
Escape from L.A. (1996),91,2.4615384615384617
Escape from New York (1981),91,3.241758241758242
Escape to Witch Mountain (1975),30,2.966666666666667
Etz Hadomim Tafus (Under the Domin Tree) (1994),1,2.0
Eve's Bayou (1997),64,3.609375
Even Cowgirls Get the Blues (1993),5,2.0
"Evening Star, The (1996)",29,2.931034482758621
Event Horizon (1997),127,2.5748031496062986
Everest (1998),2,4.5
Every Other Weekend (1990),1,1.0
Everyone Says I Love You (1996),168,3.273809523809524
Evil Dead II (1987),89,3.5168539325842696
Evita (1996),259,2.9806949806949805
Excess Baggage (1997),52,2.5384615384615383
Executive Decision (1996),157,3.3566878980891715
Exit to Eden (1994),16,2.75
Exotica (1994),27,3.555555555555556
Extreme Measures (1996),64,3.171875
Eye for an Eye (1996),32,3.03125
"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1,1.0
Face/Off (1997),194,3.768041237113402
Faces (1968),4,3.0
Fair Game (1995),11,2.1818181818181817
FairyTale: A True Story (1997),30,2.966666666666667
Faithful (1996),10,3.3
Fall (1997),3,2.0
Fallen (1998),41,3.1463414634146343
Falling in Love Again (1980),2,1.0
"Family Thing, A (1996)",45,3.555555555555556
"Fan, The (1996)",64,3.09375
Fantasia (1940),174,3.770114942528736
Far From Home: The Adventures of Yellow Dog (1995),7,3.2857142857142856
Farewell My Concubine (1993),46,3.978260869565217
"Farewell to Arms, A (1932)",12,3.8333333333333335
Fargo (1996),508,4.155511811023622
Farinelli: il castrato (1994),17,3.117647058823529
Farmer & Chase (1995),1,4.0
"Fast, Cheap & Out of Control (1997)",32,3.4375
Faster Pussycat! Kill! Kill! (1965),7,3.0
Fatal Instinct (1993),19,2.631578947368421
Father of the Bride (1950),60,3.583333333333333
Father of the Bride Part II (1995),128,2.8984375
Fathers' Day (1997),31,2.5806451612903225
Faust (1994),5,4.2
Fausto (1993),3,3.0
"Favor, The (1994)",1,2.0
Fear (1996),44,3.1590909090909087
Fear of a Black Hat (1993),10,3.2
"Fear, The (1995)",1,3.0
Fearless (1993),25,3.24
Feast of July (1995),5,2.4
Feeling Minnesota (1996),32,2.625
Female Perversions (1996),8,2.625
Field of Dreams (1989),212,3.69811320754717
Fierce Creatures (1997),96,3.114583333333333
"Fifth Element, The (1997)",197,3.4771573604060912
"Fille seule, La (A Single Girl) (1995)",4,4.0
Fire Down Below (1997),44,2.9318181818181817
Fire on the Mountain (1996),1,3.0
Firestorm (1998),18,2.833333333333333
"Firm, The (1993)",151,3.2781456953642385
First Kid (1996),40,2.925
First Knight (1995),86,3.0232558139534884
"First Wives Club, The (1996)",160,3.01875
"Fish Called Wanda, A (1988)",247,3.785425101214575
Fled (1996),34,2.647058823529412
Flesh and Bone (1993),6,2.833333333333333
"Flintstones, The (1994)",31,2.064516129032258
Flipper (1996),20,2.45
Flirt (1995),5,3.6
Flirting With Disaster (1996),42,3.690476190476191
"Flower of My Secret, The (Flor de mi secreto, La) (1995)",6,3.1666666666666665
Flubber (1997),53,2.7547169811320757
Fluke (1995),14,2.4285714285714284
Fly Away Home (1996),180,3.6
"Fog, The (1980)",23,2.739130434782609
Fools Rush In (1997),24,3.0
For Ever Mozart (1996),3,2.0
For Love or Money (1993),12,2.833333333333333
For Richer or Poorer (1997),14,2.4285714285714284
For Whom the Bell Tolls (1943),20,4.0
For the Moment (1994),3,2.6666666666666665
"Forbidden Christ, The (Cristo proibito, Il) (1950)",4,2.75
Forbidden Planet (1956),67,3.835820895522388
Foreign Correspondent (1940),15,3.8666666666666663
Foreign Student (1994),2,2.0
Forget Paris (1995),62,3.193548387096774
Forrest Gump (1994),321,3.853582554517134
Four Days in September (1997),12,3.75
Four Rooms (1995),90,3.033333333333333
Four Weddings and a Funeral (1994),251,3.661354581673306
"Fox and the Hound, The (1981)",61,3.1475409836065573
Foxfire (1996),15,2.933333333333333
Frankie Starlight (1995),4,2.5
Free Willy (1993),33,2.4545454545454546
Free Willy 2: The Adventure Home (1995),11,2.1818181818181817
Free Willy 3: The Rescue (1997),27,1.7407407407407407
Freeway (1996),42,3.3571428571428568
French Kiss (1995),84,3.333333333333333
French Twist (Gazon maudit) (1995),39,3.2051282051282053
Fresh (1994),10,4.1
Friday (1995),26,3.4615384615384617
Fried Green Tomatoes (1991),153,3.7647058823529416
"Frighteners, The (1996)",115,3.2347826086956517
Frisk (1995),3,2.6666666666666665
From Dusk Till Dawn (1996),92,3.1195652173913038
"Fugitive, The (1993)",336,4.044642857142857
Full Metal Jacket (1987),170,3.6823529411764704
"Full Monty, The (1997)",315,3.9269841269841272
Full Speed (1996),8,3.125
"Funeral, The (1996)",21,2.4285714285714284
Funny Face (1957),21,3.6666666666666665
"Further Gesture, A (1996)",1,1.0
G.I. Jane (1997),175,3.36
Gabbeh (1996),6,3.333333333333333
"Game, The (1997)",251,3.593625498007968
Gandhi (1982),195,4.0205128205128196
Gang Related (1997),16,2.6875
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",24,3.9166666666666665
Gaslight (1944),35,3.8857142857142857
"Gate of Heavenly Peace, The (1995)",1,4.0
Gattaca (1997),136,3.5955882352941178
"Gay Divorcee, The (1934)",15,3.8666666666666663
George of the Jungle (1997),162,2.685185185185185
Georgia (1995),30,2.9
Germinal (1993),4,3.0
Geronimo: An American Legend (1993),9,3.111111111111111
Get Shorty (1995),209,3.5502392344497613
Get on the Bus (1996),38,3.3157894736842106
"Getaway, The (1994)",18,2.333333333333333
Getting Away With Murder (1996),1,1.0
Getting Even with Dad (1994),5,1.6
Ghost (1990),170,3.4647058823529413
"Ghost and Mrs. Muir, The (1947)",43,3.651162790697674
"Ghost and the Darkness, The (1996)",128,3.203125
Ghost in the Shell (Kokaku kidotai) (1995),26,3.6538461538461537
Ghosts of Mississippi (1996),29,3.4827586206896552
Giant (1956),51,3.7450980392156863
Gigi (1958),41,3.6585365853658534
Gilligan's Island: The Movie (1998),3,1.3333333333333333
Girl 6 (1996),25,2.76
Girl in the Cadillac (1995),1,1.0
Girls Town (1996),1,3.0
"Glass Shield, The (1994)",2,2.0
Glengarry Glen Ross (1992),69,3.463768115942029
"Glimmer Man, The (1996)",48,2.75
Glory (1989),171,4.076023391812867
Go Fish (1994),15,3.2
"Godfather, The (1972)",413,4.283292978208232
"Godfather: Part II, The (1974)",209,4.186602870813397
Gold Diggers: The Secret of Bear Mountain (1995),10,3.1
Golden Earrings (1947),2,4.0
GoldenEye (1995),131,3.206106870229008
Gone Fishin' (1997),11,1.818181818181818
Gone with the Wind (1939),171,3.871345029239766
"Good Man in Africa, A (1994)",2,3.0
Good Morning (1971),1,1.0
Good Will Hunting (1997),198,4.262626262626263
"Good, The Bad and The Ugly, The (1966)",137,3.8613138686131383
GoodFellas (1990),226,3.951327433628319
"Goofy Movie, A (1995)",20,2.9
Gordy (1995),3,1.0
Grace of My Heart (1996),8,3.25
"Graduate, The (1967)",239,4.104602510460252
"Grand Day Out, A (1992)",66,4.106060606060606
"Grass Harp, The (1995)",9,3.2222222222222223
Grateful Dead (1995),4,3.5
Grease (1978),170,3.3470588235294123
Grease 2 (1982),24,2.0
"Great Day in Harlem, A (1994)",1,5.0
"Great Dictator, The (1940)",46,4.021739130434782
"Great Escape, The (1963)",124,4.104838709677419
Great Expectations (1998),27,3.2222222222222223
"Great Race, The (1965)",31,3.290322580645161
"Great White Hype, The (1996)",49,2.7551020408163267
Gridlock'd (1997),19,3.2105263157894735
"Grifters, The (1990)",89,3.4831460674157304
Grosse Fatigue (1994),4,3.25
Grosse Pointe Blank (1997),160,3.675
Groundhog Day (1993),280,3.764285714285714
Grumpier Old Men (1995),148,3.0405405405405403
Guantanamera (1994),4,3.75
Guilty as Sin (1993),6,2.1666666666666665
Gumby: The Movie (1995),5,2.6
Hackers (1995),33,2.606060606060606
Half Baked (1998),20,2.5
Halloween: The Curse of Michael Myers (1995),25,2.2
Hamlet (1996),90,4.011111111111111
Hana-bi (1997),1,3.0
Happy Gilmore (1996),149,3.389261744966443
